Price,Levy,Model,Category,Leather interior,Engine volume,Mileage,Cylinders,Drive wheels,Doors,Wheel,Color,Airbags,turbo,engine_volume,brand,fuel_type,Gear_box,year,price_win,Mileage_win,Levy_wins,Cylinders_wins,Category_enc,Fuel_type_enc,Drive_wheels_enc,Gear_box_enc,Manufacturer_enc
13328,1399,RX 450,SUV,1,3.5,186005,6,4x4,4,Left wheel,Silver,12,0,3.5,LEXUS,Hybrid,Automatic,2010,13328,186005,1399,6,10,3,1,1,29
16621,1018,Equinox,SUV,0,3,192000,6,4x4,4,Left wheel,Black,8,0,3,CHEVROLET,Petrol,Tiptronic,2011,16621,192000,1018,6,10,5,1,3,7
8467,1880.8046734030409,FIT,Hatchback,0,1.3,200000,4,Front,4,Right-hand drive,Black,2,0,1.3,HONDA,Petrol,Variator,2006,8467,200000,1597.7933519556452,4,4,5,2,4,19
3607,862,Escape,SUV,1,2.5,168966,4,4x4,4,Left wheel,White,0,0,2.5,FORD,Hybrid,Automatic,2011,3607,168966,862,4,10,3,1,1,14
11726,446,FIT,Hatchback,1,1.3,91901,4,Front,4,Left wheel,Silver,4,0,1.3,HONDA,Petrol,Automatic,2014,11726,91901,473,4,4,5,2,1,19
39493,891,Santa FE,SUV,1,2,160931,4,Front,4,Left wheel,White,4,0,2,HYUNDAI,Diesel,Automatic,2016,38124.099999999795,160931,891,4,10,2,2,1,21
1803,761,Prius,Hatchback,1,1.8,258909,4,Front,4,Left wheel,White,12,0,1.8,TOYOTA,Hybrid,Automatic,2010,1803,258909,761,4,4,3,2,1,54
549,751,Sonata,Sedan,1,2.4,216118,4,Front,4,Left wheel,Grey,12,0,2.4,HYUNDAI,Petrol,Automatic,2013,549,216118,751,4,9,5,2,1,21
1098,394,Camry,Sedan,1,2.5,398069,4,Front,4,Left wheel,Black,12,0,2.5,TOYOTA,Hybrid,Automatic,2014,1098,328000,473,4,9,3,2,1,54
26657,1340.0885770071552,RX 350,SUV,1,3.5,128500,6,4x4,4,Left wheel,Silver,12,0,3.5,LEXUS,Petrol,Automatic,2007,26657,128500,1340.0885770071552,6,10,5,1,1,29
941,1053,E 350,Sedan,1,3.5,184467,6,Rear,4,Left wheel,White,12,0,3.5,MERCEDES-BENZ,Diesel,Automatic,2014,941,184467,1053,6,9,2,3,1,33
3000,789.8205250768948,Vectra,Goods wagon,0,1.6,350000,4,Front,4,Left wheel,White,4,0,1.6,OPEL,CNG,Manual,1997,3000,328000,789.8205250768948,4,3,1,2,2,39
1019,1055,RX 450,SUV,1,3.5,138038,6,Front,4,Left wheel,White,12,0,3.5,LEXUS,Hybrid,Automatic,2013,1019,138038,1055,6,10,3,2,1,29
549,1079,CHR,SUV,1,2,74146,4,Front,4,Left wheel,White,12,0,2,TOYOTA,Petrol,Automatic,2018,549,74146,1079,4,10,5,2,1,54
7683,810,Elantra,Sedan,1,1.8,121840,4,Front,4,Left wheel,Blue,12,0,1.8,HYUNDAI,Petrol,Automatic,2016,7683,121840,810,4,9,5,2,1,21
28382,810,Elantra,Sedan,1,1.8,54317,4,Front,4,Left wheel,White,4,0,1.8,HYUNDAI,Petrol,Automatic,2016,28382,54317,810,4,9,5,2,1,21
549,2386,Sonata,Sedan,1,3.3,295059,6,Rear,4,Left wheel,Blue,12,0,3.3,HYUNDAI,Petrol,Automatic,2006,549,295059,1597.7933519556452,6,9,5,3,1,21
941,1850,RX 400,SUV,1,3.5,364523,6,4x4,4,Left wheel,Black,12,0,3.5,LEXUS,Hybrid,Automatic,2008,941,328000,1597.7933519556452,6,10,3,1,1,29
18826,531,Elantra,Sedan,1,1.6,112645,4,Front,4,Left wheel,Silver,4,0,1.6,HYUNDAI,Petrol,Automatic,2012,18826,112645,531,4,9,5,2,1,21
20698,586,Prius,Sedan,1,1.8,187000,4,Front,4,Left wheel,White,12,0,1.8,TOYOTA,Plug-in Hybrid,Automatic,2012,20698,187000,586,4,9,6,2,1,54
17562,1249,Camry,Sedan,1,2.5,39709,4,Front,4,Left wheel,Black,12,0,2.5,TOYOTA,Petrol,Automatic,2017,17562,39709,1249,4,9,5,2,1,54
7840,1788.3256355261626,Transit,Microbus,0,2,230000,4,Front,2,Left wheel,White,0,0,2,FORD,Diesel,Manual,2001,7840,230000,1597.7933519556452,4,6,2,2,2,14
4704,1073.3692525168194,Vectra,Sedan,0,1.8,0,4,Front,4,Left wheel,Green,4,0,1.8,OPEL,Petrol,Automatic,1995,4704,2093.200000000008,1073.3692525168194,4,9,5,2,1,39
20385,1476.5343191358745,E 220,Sedan,1,2.2,210000,4,Rear,4,Left wheel,Black,8,0,2.2,MERCEDES-BENZ,Diesel,Tiptronic,2006,20385,210000,1476.5343191358745,4,9,2,3,3,33
30,438.1447140241147,Prius,Sedan,0,1.5,169000,4,Front,4,Left wheel,White,8,0,1.5,TOYOTA,Hybrid,Automatic,2008,314,169000,473,4,9,3,2,1,54
14454,583,Elantra,Sedan,1,1.6,158787,4,Front,4,Left wheel,Silver,4,0,1.6,HYUNDAI,Petrol,Automatic,2011,14454,158787,583,4,9,5,2,1,21
